Image ID,Image name,Annotation status,Points,Date,Habitat,Site,Meter,CN_coral_cover,CN_CCA_cover,RB_coral_cover,RB_CCA_cover,CN_Acr_cover,RB_Acr_cover,CN_v1,CN_v1_lower,CN_v1_upper,CN_v1_without_bioerosion,CN_v1_lower_without_bioerosion,CN_v1_upper_without_bioerosion,CN_v2,CN_v2_lower,CN_v2_upper,CN_v2_without_bioerosion,CN_v2_lower_without_bioerosion,CN_v2_upper_without_bioerosion,RB_mean_without_bioerosion,RB_lower_without_bioerosion,RB_upper_without_bioerosion,RB_mean,RB_lower,RB_upper,CN_Acr,RB_Acr,CN_Poc,RB_Poc,RB_Sty,RB_Pocis,CN_Por,RB_Por,RB_Indo_mean_without_bioerosion,RB_Indo_lower_without_bioerosion,RB_Indo_upper_without_bioerosion
4212945,H_SalisiSouth_P8310164.JPG,Confirmed,25,8/31/2022,Healthy,Salisi Kecil Healthy,20-29 m,80.400,0.000,75.891,2.729,38.000,30.62926459,14.864,12.04,18.299,15.1183,12.3135,18.6255,18.676,15.342,22.385,18.7291,15.4047,22.4269,13.85423382,7.515640804,22.08189519,13.73037282,7.472746804,21.87706719,10.558,6.024724355,0.4579,0,0.20471789,0.20471789,0.3723,0.232848559,21.31077109,12.9171296,31.94079487
4212955,H_SalisiSouth_P8310175.JPG,Confirmed,25,8/31/2022,Healthy,Salisi Kecil Healthy,30-39 m,76.400,0.000,76.220,6.436,34.400,26.96476965,13.748,10.883,16.847,13.9279,11.0811,17.0718,20.473,16.712,24.644,20.5051,16.7498,24.6689,14.69493156,8.882428301,22.42606401,14.56957256,8.838540301,22.21923401,9.945,6.637035352,3.2053,0.18870617,0,0.18870617,0.4965,0.985453586,24.12854384,15.24421435,34.93494202
4212876,P8310239.JPG,Confirmed,25,8/31/2022,Degraded,NCS,0-9 m,0.400,0.000,1.695,0.000,0.000,0.211864407,-0.372,-0.381,-0.362,0.0945,0.0849,0.1042,-0.307,-0.409,-0.196,0.1241,0.1011,0.1472,0.292211864,0.237178171,0.358938001,-0.102015136,0.101584171,-0.293921999,0,0.033112205,0,0,0,0,0.1241,0.259099659,0.30880627,0.22890962,0.399291533
4212895,P8310250.JPG,Confirmed,25,8/31/2022,Degraded,NCS,10-19 m,0.000,0.000,5.263,0.000,0.000,0,-0.471,-0.471,-0.471,0,0,0,-0.436,-0.516,-0.347,0,0,0,0.563131481,0.427004629,0.722472616,0.227779481,0.311660629,0.167112616,0,0,0,0,0,0,0,0.244342697,0.997237363,0.827741166,1.176329719
4212905,P8310260.JPG,Confirmed,25,8/31/2022,Degraded,NCS,20-29 m,0.000,0.000,1.061,0.000,0.000,0,-0.467,-0.467,-0.467,0,0,0,-0.433,-0.512,-0.344,0,0,0,0.09101246,0.046677348,0.14694094,-0.30274354,-0.088754652,-0.50513906,0,0,0,0,0.058490826,0.058490826,0,0,0.172274022,0.106423166,0.248799644
4212915,P8310270.JPG,Confirmed,25,8/31/2022,Degraded,NCS,30-39 m,0.800,0.000,4.519,0.000,0.000,0,-0.265,-0.294,-0.234,0.1645,0.1351,0.1952,-0.119,-0.236,0.008,0.2768,0.2324,0.323,0.647703231,0.515224468,0.800965095,0.445173231,0.445564468,0.465565095,0,0,0.1526,0,0,0,0.1241,0.070521984,0.498480521,0.230038239,0.902148489
4211230,R_CentralWest_P9010078.JPG,Confirmed,25,9/1/2022,Restored,Block B,0-9 m,39.200,0.400,44.649,0.000,14.800,13.03813038,6.242,4.767,8.082,6.5703,5.0853,8.4424,10.16,8.392,12.11,10.3792,8.6515,12.2835,9.67696036,5.827163789,14.58730226,9.35149936,5.715221789,14.04832226,4.0135,3.361992398,4.7317,2.594709841,0.41918425,3.013894091,0.6206,1.142960187,17.41216664,13.50067646,22.03942893
4212198,R_CentralWest_P9010088.JPG,Confirmed,25,9/1/2022,Restored,Block B,10-19 m,58.800,0.000,62.200,0.000,22.000,10.09615385,10.878,9.057,13.673,11.205,9.3532,14.0743,13.788,11.299,16.521,13.9152,11.4482,16.6207,10.42237908,7.315054747,14.39728378,10.16851008,7.227736747,13.97686378,5.3942,2.078679456,3.6633,0.707648138,0.097484709,0.805132848,2.3583,2.603899357,16.69053212,10.23844922,25.90739759
4212295,R_CentralWest_P9010099.JPG,Confirmed,25,9/1/2022,Restored,Block B,20-29 m,47.200,0.400,53.483,0.373,16.800,8.582089552,8.418,6.762,10.373,8.7152,7.0507,10.7022,12.814,10.526,15.29,12.9927,10.7364,15.4307,10.50825335,6.68316737,15.35957415,10.23947135,6.59067137,14.91450615,4.6752,2.367223848,3.5106,3.506789664,0.506920488,4.013710152,3.2271,1.559417926,17.70926754,14.43107406,21.4537095
4212311,R_CentralWest_P9010109.JPG,Confirmed,25,1/9/2022,Restored,Block B,30-39 m,53.600,0.000,63.793,0.000,26.800,16.02809706,9.688,7.711,12.058,9.9341,7.967,12.346,13.877,11.274,16.723,14.0057,11.4258,16.8252,13.4352957,8.58434793,19.65967534,13.2012087,8.50383393,19.27201534,7.4928,4.079274487,1.8315,0.393137855,0.62390214,1.017039994,2.7306,2.431784315,18.74699748,12.43968095,27.58468052
4212965,R_SalisiNorth_P9082682.JPG,Confirmed,25,9/8/2022,Restored,Salisi Kecil Restored,0-9 m,44.000,0.400,54.140,0.000,22.400,14.53387377,7.934,6.053,10.239,8.1977,6.3146,10.5415,12.5,10.293,14.938,12.6656,10.4887,15.0688,10.43008117,5.622641984,16.54293186,10.08059917,5.502437984,15.96417186,6.1819,3.789230285,5.0372,1.030055326,2.914792809,3.944848134,0.6206,0.651011969,20.01505428,12.73173652,29.66328825
4212975,R_SalisiNorth_P9082692.JPG,Confirmed,25,9/8/2022,Restored,Salisi Kecil Restored,10-19 m,58.400,0.400,57.597,1.001,32.000,23.79269729,11.391,9.075,14.46,11.6744,9.3571,14.8141,15.599,12.771,18.703,15.739,12.9351,18.8126,12.22869165,6.903367128,19.0304463,11.91804665,6.796383128,18.5161403,8.5989,5.910559146,3.2054,1.653748408,2.183657489,3.837405897,2.6064,1.300318267,23.904478,15.6185563,35.04798117
4212985,R_SalisiNorth_P9082702.JPG,Confirmed,25,9/8/2022,Restored,Salisi Kecil Restored,20-29 m,65.600,0.000,72.352,0.000,40.400,41.6781293,12.554,9.634,15.944,12.7437,9.8507,16.1876,18.867,15.416,22.679,18.9543,15.5182,22.7476,13.11766701,7.203062456,20.70119701,12.92832501,7.137938456,20.38763701,11.4396,8.635339461,4.2739,1.195139078,1.228307337,2.423446416,0.9929,0.232848559,27.0821564,16.3559078,42.81956963
4212995,R_SalisiNorth_P9082713.jpg,Confirmed,25,9/8/2022,Restored,Salisi Kecil Restored,30-39 m,60.000,0.000,59.962,1.269,20.800,18.90862944,11.031,8.373,14.037,11.259,8.579,14.2915,19.479,16.26,22.977,19.5895,16.3905,23.0645,13.21043097,7.279105482,20.89805025,12.91846997,7.178523482,20.41471025,5.8951,4.85252274,10.8374,3.304738748,1.939945716,5.244684464,2.4824,0.669031753,19.99240183,14.50157567,26.64277705
